NEED_2_TEST,ID,SENSOR_TYPE,D_STATE,D_TRIGGER,D_SLEEP_TIME_1,R_GW_SIREN_1,R_SYSTEM_STATE_1,R_EVENT,D_SLEEP_TIME_2,IS_KEYFOB,D_STATE_2,R_GW_SIREN_2,R_SYSTEM_STATE_2,R_EVENT_2,R_CLIP_FILE
,143,WTD,EXIT_DELAY,WATER_ON_10S,10,NO_SOUND,EXIT_DELAY,NO_CHK,10,NOTHING,NOTHING,NO_SOUND,EXIT_DELAY,NO_CHK,N
,144,WTD,EXIT_DELAY,WATER_ON_10S,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
,145,WTD,EXIT_DELAY,WATER_ON_10S,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
,146,WTD,EXIT_DELAY,WATER_ON_10S,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,DISARM,NO_SOUND,DISARM,20002,N
,147,WTD,EXIT_DELAY,WATER_ON_10S,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,N,DISARM_PIN_FAIL,NO_SOUND,EXIT_DELAY,NO_CHK,N
,148,WTD,EXIT_DELAY,WATER_ON_10S,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,AWAY_ARM,NO_SOUND,EXIT_DELAY,20006,N
,149,WTD,EXIT_DELAY,WATER_ON_10S,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,STAY_ARM,NO_SOUND,EXIT_DELAY,20008,N
,150,WTD,EXIT_DELAY,WATER_ON_10S,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,Y,DISARM,NO_SOUND,DISARM,20002,N
,151,WTD,EXIT_DELAY,WATER_ON_10S,40,NO_SOUND,EXIT_DELAY,NO_CHK,40,NOTHING,NOTHING,NO_SOUND,EXIT_DELAY,NO_CHK,N
,152,WTD,EXIT_DELAY,WATER_ON_10S,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,AWAY_ARM,NO_SOUND,AWAY_ARM,20006,N
,153,WTD,EXIT_DELAY,WATER_ON_10S,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,STAY_ARM,NO_SOUND,AWAY_ARM,20008,N
,154,WTD,EXIT_DELAY,WATER_ON_10S,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,DISARM,NO_SOUND,DISARM,20002,N
,155,WTD,EXIT_DELAY,WATER_ON_10S,60,NO_SOUND,EXIT_DELAY,NO_CHK,120,N,DISARM_PIN_FAIL,NO_SOUND,AWAY_ARM,NO_CHK,N
